,Stock Price,Payoff
0,78.610780484,6.38921951598
1,99.8119600882,14.8119600882
2,84.3750395269,0.624960473136
3,90.636834967,5.63683496701
4,82.8766239303,2.12337606968
5,77.6525872879,7.34741271211
6,82.6411271482,2.35887285177
7,76.3640381739,8.63596182611
8,88.1360886256,3.13608862563
9,86.6994757255,1.69947572551
10,82.4694598779,2.53054012213
11,83.55410734,1.44589266001
12,74.2017602285,10.7982397715
13,77.9796896082,7.02031039181
14,88.3146449955,3.31464499549
15,88.4524941745,3.45249417451
16,80.0269515093,4.97304849068
17,73.1009308744,11.8990691256
18,77.5984652563,7.40153474373
19,78.7684247909,6.23157520907
20,89.8918829666,4.89188296657
21,75.4497586845,9.55024131555
22,76.4973273767,8.50267262325
23,95.6588214393,10.6588214393
24,102.405563197,17.4055631971
25,76.2207781508,8.77922184919
26,74.5086080598,10.4913919402
27,102.881551621,17.881551621
28,86.4434377482,1.44343774817
29,80.4784509745,4.5215490255
30,80.0303153566,4.96968464344
31,84.6080268579,0.391973142125
32,85.2026525139,0.20265251388
33,85.996799436,0.996799435966
34,81.338342842,3.66165715796
35,98.3647558641,13.3647558641
36,78.0867083536,6.9132916464
37,88.7495014606,3.74950146062
38,93.7371878519,8.73718785186
39,79.4121326956,5.58786730441
40,85.1754593094,0.17545930939
41,88.1372625933,3.13726259333
42,85.1036030422,0.103603042236
43,81.2801319246,3.71986807538
44,86.897391639,1.897391639
45,105.21581806,20.2158180596
46,88.5864284224,3.58642842238
47,80.6682577154,4.33174228461
48,80.1087123655,4.89128763448
49,76.5777026009,8.4222973991
50,84.8586310948,0.141368905208
51,100.508821466,15.5088214658
52,88.9573834545,3.9573834545
53,75.1803448269,9.81965517315
54,79.8221560408,5.17784395916
55,93.9357572577,8.93575725773
56,93.1429641915,8.14296419153
57,81.1345482503,3.86545174971
58,77.3053559502,7.69464404977
59,80.1646068468,4.8353931532
60,88.069879372,3.06987937202
61,82.2229799418,2.77702005815
62,81.0394975079,3.96050249206
63,74.3095728712,10.6904271288
64,86.4344568221,1.43445682209
65,84.2191667349,0.78083326505
66,71.4347216621,13.5652783379
67,84.7163892193,0.283610780732
68,91.585927007,6.585927007
69,78.6071636227,6.39283637731
70,80.4347710016,4.56522899845
71,103.981176039,18.9811760389
72,75.9943556505,9.00564434952
73,88.679944717,3.67994471697
74,73.9989364165,11.0010635835
75,92.6995495868,7.69954958681
76,91.4291255304,6.42912553044
77,83.1986739282,1.80132607177
78,90.7604354495,5.76043544948
79,96.2782606957,11.2782606957
80,88.8089187844,3.80891878438
81,95.990117495,10.990117495
82,92.3356589279,7.33565892785
83,84.4923664235,0.507633576549
84,75.8909704308,9.10902956921
85,96.8130409966,11.8130409966
86,87.7623286756,2.76232867557
87,78.4526856095,6.54731439051
88,88.152057884,3.15205788404
89,84.0922245333,0.90777546667
90,98.1040799923,13.1040799923
91,93.8326953801,8.83269538014
92,89.5364661751,4.5364661751
93,83.8551758359,1.14482416415
94,77.6260306456,7.37396935436
95,101.660543849,16.6605438493
96,85.79151896,0.791518960025
97,94.8354743043,9.83547430431
98,92.6588658732,7.65886587315
99,78.0599451183,6.94005488172
100,77.382919613,7.61708038697
101,86.1614178613,1.16141786125
102,79.190151056,5.80984894401
103,85.602577572,0.602577572033
104,77.6657454275,7.33425457249
105,82.9306635876,2.06933641238
106,89.4497554023,4.44975540235
107,75.3060354124,9.69396458757
108,79.0547495297,5.94525047034
109,86.1074079877,1.10740798769
110,88.5536169934,3.55361699339
111,97.5548728797,12.5548728797
112,73.7449508976,11.2550491024
113,102.532214529,17.532214529
114,79.5718825584,5.4281174416
115,78.4713773871,6.5286226129
116,83.6384855585,1.36151444153
117,70.0307327899,14.9692672101
118,80.1166768962,4.88332310383
119,77.5527774165,7.44722258345
120,92.1813537415,7.18135374149
121,78.7244697746,6.27553022536
122,70.8869303938,14.1130696062
123,78.6825734078,6.31742659215
124,76.1148915018,8.88510849818
125,86.2168947494,1.21689474942
126,93.7940668873,8.7940668873
127,84.9766128705,0.0233871294635
128,86.4087681051,1.4087681051
129,87.1108449219,2.11084492186
130,83.8425839929,1.15741600709
131,87.0381159175,2.03811591753
132,80.1199454649,4.88005453506
133,80.3994051562,4.60059484377
134,70.7531472983,14.2468527017
135,89.7779335712,4.77793357123
136,88.3936198823,3.39361988228
137,80.0407852113,4.95921478869
138,84.2514690969,0.748530903068
139,77.0156464087,7.98435359133
140,86.4673435793,1.46734357926
141,94.5383126996,9.53831269962
142,91.6011049436,6.60110494361
143,72.0617005657,12.9382994343
144,74.100164922,10.899835078
145,77.4313323324,7.56866766759
146,91.69542355,6.69542355002
147,80.687845933,4.31215406697
148,87.0290432336,2.02904323363
149,76.4596812141,8.5403187859
150,83.0786959809,1.9213040191
151,86.372676734,1.37267673397
152,90.8681412989,5.86814129886
153,71.3875777459,13.6124222541
154,93.0515314536,8.05153145363
155,88.4540744039,3.4540744039
156,82.0552037443,2.94479625574
157,71.5421805947,13.4578194053
158,77.206710406,7.793289594
